,density,population,jobs,geometry,emission,attraction,emission_calibration,attraction_calibration,correction_production,correction_attraction
zone_0,8444,36945.914,10634.541026315788,POINT (522674.4372284553 8960596.35269769),60736.14151315789,60736.14151315789,4168.0,4517.0,-56568.14151315789,-56219.14151315789
zone_1,2396,11382.564,39309.54296052632,POINT (521217.2643007856 8956028.694174692),36728.61748026316,36728.61748026316,90955.0,105390.0,54226.38251973684,68661.38251973684
zone_10,6052,18595.187,4364.419967105263,POINT (514891.40403789317 8957687.028080251),30074.990483552632,30074.990483552632,66.0,155.0,-30008.990483552632,-29919.990483552632
zone_11,7075,28660.289,5713.54,POINT (527243.1842593286 8947873.046963278),45847.2035,45847.2035,0.0,0.0,-45847.2035,-45847.2035
zone_12,1832,8776.266,3390.3129013157904,POINT (517290.5600922643 8959324.366844818),14859.555450657896,14859.555450657896,0.0,0.0,-14859.555450657896,-14859.555450657896
zone_13,4013,38162.202,27886.999282894736,POINT (527186.4810214906 8961352.206120407),71186.80264144737,71186.80264144737,1570.0,7761.0,-69616.80264144737,-63425.80264144737
zone_14,0,0.0,0.0,POINT (512772.929637812 8951926.795260463),0.0,0.0,0.0,0.0,0.0,0.0
zone_15,784,18307.964,5806.647375,POINT (519688.10186402965 8963835.678393066),30365.2696875,30365.2696875,0.0,0.0,-30365.2696875,-30365.2696875
zone_16,1263,870.082,2273.422190789476,POINT (520439.98291560705 8953754.428892557),2441.834095394738,2441.834095394738,0.0,0.0,-2441.834095394738,-2441.834095394738
zone_17,1501,23803.675,5011.3,POINT (529380.2692476995 8956775.58278803),38211.1625,38211.1625,0.0,0.0,-38211.1625,-38211.1625
zone_18,0,0.0,0.0,POINT (511987.70314805926 8959867.41395124),0.0,0.0,0.0,0.0,0.0,0.0
zone_19,5959,36821.526,8344.439157894736,POINT (526155.4816876586 8955871.875518909),59404.50857894737,59404.50857894737,470.0,1210.0,-58934.50857894737,-58194.50857894737
zone_2,10,34.992,4844.205,POINT (509378.2490715467 8956247.026962413),2474.5905,2474.5905,0.0,0.0,-2474.5905,-2474.5905
zone_20,6698,17969.913,6848.18867763158,POINT (520034.02905353205 8950892.68626198),30378.96383881579,30378.96383881579,4470.0,5105.0,-25908.96383881579,-25273.96383881579
zone_21,5295,11951.723,8666.505855263158,POINT (525080.9229054541 8957571.64175674),22260.83742763158,22260.83742763158,0.0,0.0,-22260.83742763158,-22260.83742763158
zone_22,1348,4717.41,8509.023822368425,POINT (519588.57838392386 8959342.2123305),11330.626911184212,11330.626911184212,24381.0,28287.0,13050.373088815788,16956.373088815788
zone_23,149,302.158,1715.701,POINT (524627.0408459842 8953915.458818045),1311.0875,1311.0875,0.0,0.0,-1311.0875,-1311.0875
zone_24,1746,2732.428,7578.140559941521,POINT (519507.2426040154 8956751.771897597),7887.71227997076,7887.71227997076,1060.0,2397.0,-6827.71227997076,-5490.71227997076
zone_25,4568,12327.961,4390.882,POINT (518283.42712579155 8956246.142265435),20687.3825,20687.3825,0.0,0.0,-20687.3825,-20687.3825
zone_26,10,54.664,7567.5475,POINT (512290.05056540045 8954649.610877734),3865.76975,3865.76975,0.0,0.0,-3865.76975,-3865.76975
zone_27,0,0.0,0.0,POINT (519494.7743694641 8948301.067979038),0.0,0.0,0.0,0.0,0.0,0.0
zone_28,6,26.194,2196.3974539473684,POINT (525454.2724386861 8962438.599532068),1137.489726973684,1137.489726973684,0.0,0.0,-1137.489726973684,-1137.489726973684
zone_29,4104,24380.367,5372.4059868421045,POINT (524632.3781584598 8951932.22759536),39256.75349342105,39256.75349342105,0.0,0.0,-39256.75349342105,-39256.75349342105
zone_3,5549,14563.002,8331.224407894739,POINT (522574.0221655342 8953719.612582345),26010.11520394737,26010.11520394737,2106.0,2901.0,-23904.11520394737,-23109.11520394737
zone_30,3429,5161.552,8103.682947368422,POINT (521685.31819473044 8953085.002720205),11794.169473684213,11794.169473684213,85303.0,79671.0,73508.83052631578,67876.83052631578
zone_31,4249,35556.666,10739.547578947371,POINT (525685.4952319866 8948615.700588226),58704.77278947368,58704.77278947368,0.0,1509.0,-58704.77278947368,-57195.77278947368
zone_32,703,5486.503,4879.650013157897,POINT (528454.1427091445 8959588.857753921),10669.579506578948,10669.579506578948,917.0,9847.0,-9752.579506578948,-822.579506578948
zone_33,573,6445.349,6546.232625000001,POINT (514454.9404738113 8959304.752724769),12941.1398125,12941.1398125,0.0,0.0,-12941.1398125,-12941.1398125
zone_34,0,0.0,0.0,POINT (508765.1191628157 8958107.904318716),0.0,0.0,0.0,0.0,0.0,0.0
zone_35,4409,28504.142,29975.44570394737,POINT (517956.66896238114 8962379.676509978),57743.935851973685,57743.935851973685,73604.0,48275.0,15860.064148026317,-9468.935851973683
zone_36,5553,13221.538,12866.397905701751,POINT (516780.9889482285 8952451.456176259),26265.50595285088,26265.50595285088,8446.0,41138.0,-17819.50595285088,14872.49404714912
zone_37,3693,19897.953,15987.062355263157,POINT (521107.42599683965 8958159.65162729),37840.46067763158,37840.46067763158,2632.0,2518.0,-35208.46067763158,-35322.46067763158
zone_38,4293,12316.619,6590.722855263159,POINT (516906.5870623723 8955766.40086097),21770.28992763158,21770.28992763158,113.0,201.0,-21657.28992763158,-21569.28992763158
zone_39,614,11550.518,2431.688,POINT (529060.132764523 8953330.993701065),18541.621000000003,18541.621000000003,0.0,0.0,-18541.621000000003,-18541.621000000003
zone_4,2251,20240.102,5460.054875000002,POINT (528953.0949932998 8951622.226937242),33090.1804375,33090.1804375,0.0,2460.0,-33090.1804375,-30630.1804375
zone_40,95,206.71,11547.4085,POINT (511915.6851597422 8958200.833695993),6083.769249999999,6083.769249999999,0.0,318.0,-6083.769249999999,-5765.769249999999
zone_41,654,5995.539,15634.44815789474,POINT (523298.00336556893 8962088.671463955),16810.532578947368,16810.532578947368,0.0,0.0,-16810.532578947368,-16810.532578947368
zone_42,2696,4851.999,8032.159736842106,POINT (522662.6477195015 8955929.784696192),11294.078368421053,11294.078368421053,28835.0,22239.0,17540.921631578945,10944.921631578947
zone_43,3484,14547.874,14174.891401315788,POINT (519250.6275886213 8954831.417897698),28909.256700657897,28909.256700657897,66466.0,47830.0,37556.7432993421,18920.743299342103
zone_44,2985,14717.43,7259.412789473685,POINT (518075.5038150009 8957949.56519239),25705.85139473684,25705.85139473684,69749.0,43175.0,44043.14860526316,17469.14860526316
zone_45,2637,3219.68,4152.018,POINT (524192.82516908564 8958562.885083918),6905.529,6905.529,0.0,1290.0,-6905.529,-5615.529
zone_46,8391,17151.962,4821.558715643275,POINT (518461.0015974099 8952783.113761365),28138.72235782164,28138.72235782164,0.0,135.0,-28138.72235782164,-28003.72235782164
zone_47,6886,14157.524,5193.6585263157895,POINT (520640.0283359466 8960403.902479522),23833.11526315789,23833.11526315789,12141.0,6502.0,-11692.115263157895,-17331.115263157895
zone_48,3924,14858.42,6350.239039473684,POINT (522878.2570842678 8959061.95892746),25462.749519736844,25462.749519736844,136.0,1134.0,-25326.749519736844,-24328.749519736844
zone_49,3376,5809.283,15798.013012426902,POINT (523537.9319718825 8954892.826971134),16612.931006213454,16612.931006213454,3403.0,9910.0,-13209.931006213454,-6702.931006213454
zone_5,4475,35189.558,8486.673,POINT (515919.3156927188 8962317.201786464),57027.6735,57027.6735,0.0,0.0,-57027.6735,-57027.6735
zone_50,523,2445.286,5668.705625000001,POINT (524075.11414739594 8956730.084413974),6502.281812500001,6502.281812500001,309.0,3721.0,-6193.281812500001,-2781.2818125000013
zone_51,3654,14072.541,3177.504105263158,POINT (523254.1259338208 8950879.114007998),22697.56355263158,22697.56355263158,1061.0,1838.0,-21636.56355263158,-20859.56355263158
zone_52,3625,4242.115,2626.733375,POINT (517389.3290424324 8960489.378241373),7676.5391875,7676.5391875,9314.0,11750.0,1637.4608125000004,4073.4608125
zone_53,4420,6933.996,6298.04577631579,POINT (521247.9162759807 8952347.86580184),13550.016888157896,13550.016888157896,96184.0,72056.0,82633.9831118421,58505.983111842106
zone_54,7541,14791.275,9700.530138157896,POINT (520478.0418839731 8951851.481184874),27037.177569078947,27037.177569078947,712.0,3287.0,-26325.177569078947,-23750.177569078947
zone_55,13806,15729.023,1639.6957894736845,POINT (517159.0578726436 8954884.235610837),24413.38239473684,24413.38239473684,20861.0,22681.0,-3552.38239473684,-1732.38239473684
zone_56,1569,2642.865,14385.9445,POINT (521030.66767182184 8954402.347496388),11157.26975,11157.26975,136989.0,141316.0,125831.73025,130158.73025
zone_57,1577,1868.739,3541.3444276315813,POINT (519911.95280514617 8953181.012050936),4573.780713815791,4573.780713815791,1403.0,5948.0,-3170.7807138157914,1374.2192861842086
zone_6,3146,5900.36,9721.50699488304,POINT (517610.73942991946 8953932.601951778),13711.293497441518,13711.293497441518,1170.0,2357.0,-12541.293497441518,-11354.293497441518
zone_7,2866,16987.51,8604.280868421054,POINT (526406.5936805842 8958734.799786163),29783.405434210526,29783.405434210526,155.0,0.0,-29628.405434210526,-29783.405434210526
zone_8,720,2718.63,281.932,POINT (506265.3039095624 8948182.977565479),4218.911,4218.911,0.0,0.0,-4218.911,-4218.911
zone_9,10533,35474.645,5357.849736842107,POINT (522180.33196976874 8950427.614506418),55890.89236842105,55890.89236842105,729.0,5187.0,-55161.89236842105,-50703.89236842105
